position			Title			Directors			IMDb_Rating			Year			actor/actress1			actor/actress2			actor/actress3			actor/actress4			box_office			budget
198			District_9			Neill_Blomkamp			8			2009			Sharlto_Copley			David_James			Jason_Cope			Nathalie_Boltt			115646235			30000000
199			Fahrenheit_9/11			Michael_Moore			7.5			2004			Michael_Moore			George_W._Bush			Ben_Affleck			Stevie_Wonder			119194771			6000000
200			Star_Trek			J.J._Abrams			8			2009			Chris_Pine			Zachary_Quinto			Simon_Pegg			Leonard_Nimoy			257704099			140000000
201			Senna			Asif_Kapadia			8.6			2010			Ayrton_Senna			Alain_Prost			Frank_Williams			Ron_Dennis			1586652			2000000
202			The_Raid			Gareth_Huw_Evans			7.6			2011			Iko_Uwais			Ananda_George			Ray_Sahetapy			Donny_Alamsyah			4105123			1100000
203			Brick			Rian_Johnson			7.4			2005			Joseph_Gordon-Levitt			Lukas_Haas			Emilie_de_Ravin			Meagan_Good			2060589			475000
204			Das_Leben_der_Anderen			Florian_Henckel_von_Donnersmarck			8.5			2006			Ulrich_M¨¹he			Martina_Gedeck			Sebastian_Koch			Ulrich_Tukur			11284657			2000000
205			When_We_Were_Kings			Leon_Gast			8			1996			Muhammad_Ali			George_Foreman			Don_King			James_Brown			2666118			2000000
206			Groundhog_Day			Harold_Ramis			8.1			1993			Bill_Murray			Andie_MacDowell			Chris_Elliott			Stephen_Tobolowsky			70906973			14600000
208			Unbreakable			M._Night_Shyamalan			7.2			2000			Bruce_Willis			Samuel_L._Jackson			Robin_Wright			Spencer_Treat_Clark			94999143			75000000
209			El_laberinto_del_fauno			Guillermo_del_Toro			8.2			2006			Ivana_Baquero			Ariadna_Gil			Sergi_L¨®pez			Maribel_Verd¨²			37623143			13500000
210			Hugo			Martin_Scorsese			7.6			2011			Asa_Butterfield			Chlo_Grace_Moretz			Christopher_Lee			Ben_Kingsley			73820094			170000000
211			Sunshine			Danny_Boyle			7.3			2007			Cillian_Murphy			Rose_Byrne			Chris_Evans			Michelle_Yeoh			2786833			26000000
212			The_King_of_Kong			Seth_Gordon			8.2			2007			Steve_Wiebe			Billy_Mitchell			Mark_Alpiger			Adam_Wood			674925			500000
